,genre
976, soukous
977, qawwali
978, boogie-woogie
979, brazilian composition
980, czech hip hop
981, modern uplift
982, serialism
983, disco polo
984, stomp and whittle
985, neo-rockabilly
986, hiplife
987, workout
988, deep tech house
989, karneval
990, underground latin hip hop
991, kompa
992, electropunk
993, melodic power metal
994, drumfunk
995, metal guitar
996, portuguese pop
997, tico
998, finnish indie
999, ecuadoria
1000, electronica
1001, cyber metal
1002, german oi
1003, full on
1004, kwaito house
1005, vietnamese pop
1006, vocaloid
1007, heavy alternative
1008, outsider
1009, deep flow
1010, irish indie
1011, gothic alternative
1012, jumpstyle
1013, k-rock
1014, crust punk
1015, psych gaze
1016, fake
1017, german show tunes
1018, brutal deathcore
1019, orquesta tropical
1020, ethiopian pop
1021, blackgaze
1022, calypso
1023, slovak hip hop
1024, mbalax
1025, grunge pop
1026, beatdown
1027, rosary
1028, composition d
1029, latvian pop
1030, j-ambient
1031, traditional rock ‘n roll
1032, rva indie
1033, dark black metal
1034, alternative americana
1035, deep acoustic pop
1036, classic venezuelan pop
1037, witch house
1038, orquesta tipica
1039, austrian hip hop
1040, concert piano
1041, electro dub
1042, ragtime
1043, louisville indie
1044, drone folk
1045, canadian hip hop
1046, lounge house
1047, hungarian hip hop
1048, ukrainian rock
1049, neofolk
1050, world chill
1051, traditional ska
1052, denver indie
1053, deep smooth jazz
1054, anarcho-punk
1055, oshare kei
1056, yoik
1057, leeds indie
1058, geek rock
1059, indie emo
1060, funk carioca
1061, abstract
1062, traditional british folk
1063, dirty texas rap
1064, judaica
1065, japanese psychedelic
1066, classic czech pop
1067, deep dance pop
1068, broken beat
1069, deep rai
1070, lithumania
1071, hard minimal techno
1072, lo star
1073, modern southern rock
1074, neo-synthpop
1075, nwothm
1076, zouglou
1077, makossa
1078, footwork
1079, zillertal
1080, acousmatic
1081, mexican son
1082, ukulele
1083, deep gothic post-punk
1084, deep soundtrack
1085, swiss hip hop
1086, deep neofolk
1087, tone
1088, ghazal
1089, deep contemporary country
1090, psychedelic blues-rock
1091, musiikkia lapsille
1092, semba
1093, deep adult standards
1094, islamic recitation
1095, blaskapelle
1096, guidance
1097, kurdish folk
1098, tribute
1099, atmospheric post-metal
1100, darkstep
1101, vegan straight edge
1102, nerdcore
1103, new beat
1104, crack rock steady
1105, swedish prog
1106, danish indie
1107, belgian indie
1108, slavic metal
1109, classic soundtrack
1110, slc indie
1111, classic french pop
1112, kayokyoku
1113, electro trash
1114, traditional swing
1115, garage punk blues
1116, deep german punk
1117, deep discofox
1118, indian classical
1119, classic afrobeat
1120, black death
1121, dark hardcore
1122, minimal wave
1123, zydeco
1124, downtempo fusion
1125, jazz brass
1126, australian indie
1127, underground power pop
1128, gothic americana
1129, traditional scottish folk
1130, classic dutch pop
1131, nl folk
1132, didgeridoo
1133, schranz
1134, funky breaks
1135, motivation
1136, indie singer-songwriter
1137, spanish invasion
1138, euroska
1139, ragga jungle
1140, breakcore
1141, library music
1142, deep psychobilly
1143, michigan indie
1144, chalga
1145, electronicore
1146, corrosion
1147, south african jazz
1148, usbm
1149, solipsynthm
1150, progressive alternative
1151, neurostep
1152, deep brazilian pop
